smiles,antibiotic
N[C@@H](Cc1ccc(cc1)O)C(=O)NCC(=O)NCC(=O)O,0
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C.Cl,0
COc1cccc(C=O)c1OC,0
Cc1cccc(c1)NC(=O)C(=O)NCCCO,0
NC(=O)Nc1ccc([As](=O)(O)O)cc1,0
CS(=O)(=O)N(CC(=O)O)Cc1ccccc1,0
CC[C@@H](CN)c1ccccc1,0
C[C@@H](N)COc1c(cccc1C)C,0
NC[C@@H](CC(=O)O)c1ccccc1,0
OC[C@@H](O)[C@@H](O)[C@H](O)/C=N/NC(=O)c1cccc(c1)C(=O)NO,0
NCC(=O)c1ccccc1,0
COc1cccc(c1)NC(=S)NN,0
NCCCC[C@@H](N)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCCCN)C(=O)O,0
CCC(=O)Nc1ccc(cc1)Cl,0
N[C@@H](COCc1ccccc1)C(=O)O,0
NNC(=O)c1cccc(c1)[N+](=O)[O-],0
CN(C)c1ccc(cc1)NC(=O)CN,0
OC(=O)/C=C\C(=O)NCc1ccccc1,0
C[C@@H](N)c1ccc(cc1F)F,0
CN(C)CC(=O)NS(=O)(=O)c1ccccc1,0
Cc1ccc(cc1)CNC(=S)NCCO,0
CC(=O)Nc1cc(ccc1C)Cl,0
COc1ccc(cc1)CNCC(=O)O,0
NS(=O)(=O)c1ccc(C(=O)O)cc1,0
OC(=O)c1cccc(c1O)O,0
NCC(=O)Nc1ccc(c(c1F)F)F,0
N[C@@H](Cc1ccc(cc1)O)C(=O)O,0
COc1cc(O)cc(OC)c1OC,0
NC[C@@](O)(CS(=O)(=O)O)c1ccc(cc1)Cl,0
OCCOC(=O)NCc1ccccc1,0
CC(=O)c1ccc(c(c1)Cl)F,0
COc1ccc(cc1)OCCC(=O)NN,0
Nc1c(cccc1C(=O)O)O,0
C[C@@H](N)Cc1ccc(cc1)O,0
CC(=O)Nc1ccccc1,0
Nc1ccc(cc1)[As](=O)(O)O,0
O/N=C/c1c(cccc1Cl)Cl,0
COCC(=O)Nc1ccccc1C(=O)O,0
CCOc1ccccc1C(N)=O,0
Cc1ccccc1NC(=O)C(C)(C)C,0
CCOC(=O)[C@@H](N)Cc1ccc(c(c1)O)O,0
N[C@@H](CO)Cc1ccccc1,0
CC(=O)N(C[C@@H](O)CO)c1c(c(c(c(c1I)C(=O)NC[C@@H](O)CO)I)C(=O)NCCO)I,0
CNCC(O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O,0
CNC(=O)Nc1ccc(cc1)S(=O)(=O)N,0
NC(=O)OCC(COC(=O)N)c1ccccc1,0
OC(=O)CN(CCc1ccccc1)CC(=O)O,0
CC/C(=C\c1ccccc1)C(=O)O,0
OCCNC(=S)c1ccccc1,0
COc1cc(C=CC(N)=O)cc(OC)c1OC,0
Cc1ccc(cc1NC(=O)CN)F,0
N[C@@H](Cc1ccc(cc1)F)C(=O)O,0
COc1ccc(C=O)cc1,0
NC(=O)C(=Cc1ccc(c(c1)O)O)C#N,0
O[C@H](C(=O)O)c1ccccc1,0
CC(C)C[C@@H](N)C(=O)c1cc(ccc1C)C,0
C[C@@H](NS(=O)(=O)c1cccc(c1)F)C(=O)O,0
COc1cccc(c1)N=[N+]=[N-],0
CCC(N)C(O)c1ccc(O)c(O)c1.Cl,0
NCc1cccc(c1)O,0
CNC[C@H](O)c1ccc(c(c1)O)O,0
NC(=O)c1ccccc1NC(=O)CCC(=O)O,0
COCC(=O)NS(=O)(=O)c1ccccc1,0
CC(C(O)c1ccccc1)N(C)C,0
Clc1ccc(cc1)Cl,0
N[C@@H](C(=O)O)c1cc(cc(c1)O)O,0
O[C@@H]([C@@H](CC(=O)O)C(=O)O)c1ccccc1,0
COC(=O)c1ccc(c(c1)O)O,0
CC(=O)Nc1cc(ccc1O)[As](=O)(O)O,0
NNC(=O)CCc1ccccc1,0
CCOC(=O)C[C@@H](N)c1ccccc1Cl,0
NC(=O)Nc1ccc(cc1)[As](=O)(O)O,0
COc1cc(C(=O)O)cc(OC)c1OC,0
CO[C@@H](CCO)[C@@H](O)c1ccc(c(c1)F)O,0
CN(C)CCOc1ccc(cc1)CN,0
N[C@H](C(=O)O)c1ccc(c(c1)O)C(=O)O,0
Cc1ccc(c(c1)Br)OCCN,0
COc1cc(C=CC(=O)O)ccc1O,0
Cc1ccccc1NCC(=O)NN,0
CC#CC(=O)NS(=O)(=O)c1ccccc1,0
COC(=O)c1cc(ccc1OC)S(=O)(=O)C,0
CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl,0
CC(C)NCC(O)c1ccc(O)c(O)c1.Cl,0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,0
CC(C)(C)c1ccc(cc1)O,0
NNC(=O)c1ccccc1O,0
NNC(=O)COc1ccccc1,0
Cc1cc(O)c(C=O)c(O)c1C(=O)O,0
Nc1ccc(C(=O)NCC(=O)O)cc1,0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)NN,0
NCc1ccccc1F,0
N[C@H](C(=O)O)c1ccc(c(c1)C(=O)O)C(=O)O,0
OCCC(=O)c1ccc(cc1)O,0
COc1ccc(cc1CNCCO)[N+](=O)[O-],0
Cc1ccccc1NC(=N)N=C(N)N,0
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,0
C[C@@H](NC(=O)c1ccccc1)C(=O)NN,0
NC(=O)CCNCc1ccccc1,0
CC(=O)O.N=C(N)NN=Cc1c(Cl)cccc1Cl,0
Nc1cc(ccc1C(=O)O)[N+](=O)[O-],0
CCOc1ccc(NC(C)=O)cc1,0
OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1cccc(c1)C(=O)NO,0
C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)/C=N/NC(=O)c1cccc(c1)C(=O)NO,0
CNC(=NCc1ccc(cc1)OC)NC,0
COc1cc(C=O)cc(OC)c1OC,0
COc1ccc(cc1)N=[N+]=[N-],0
CC(C)(C)NCc1ccccc1F,0
NC/C(=C/F)CCc1ccc(cc1)F,0
COc1cc(O)ccc1C(C)=O,0
CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl,0
COc1ccc(cc1C)NC(=S)C,0
NS(=O)(=O)c1ccccc1,0
NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0
Cc1ccc(cc1)N(CC(=O)O)S(=O)(=O)C,0
CC(C)(C)NCC(O)c1ccccc1Cl.Cl,0
Cc1ccccc1CCCCN,0
COc1ccc(C(=O)O)cc1OC,0
Clc1ccc(cc1)/C=C/C=O,0
C[C@H](N)[C@H](O)c1ccc(c(c1)O)O,0
Cc1ccc(cc1)C(N)(CC=C)CC=C,0
C[C@@H](N)C(=O)Nc1c(cccc1C)C,0
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N.Cl,0
OCCC[C@@H](O)c1ccc(cc1)OCCO,0
CC(=O)Oc1cccc(C(=O)O)c1OC(C)=O,0
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0
CS(=O)(=O)Cc1ccc(cc1)C(=O)O,0
CC(=O)Nc1cccc(O)c1,0
CC(C)C(=O)NNC(=O)c1ccccc1O,0
CNC(=O)c1cccc(c1)CN,0
CC(C)(C)OC(=O)C[C@@H](CC=C)C(=O)OCCNC(=O)[C@H](CC=C)CC(=O)N(CCO)Cc1ccccc1,0
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
N[C@@H](C#N)c1ccc(cc1)Cl,0
CC(C)CC(=O)Nc1ccccc1C,0
Cc1cccc(c1)N(CC(=O)O)CC(=O)O,0
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0
